outing_id,number,title,notes,tags,text_overlay,duration,date,pitcher,hitter,inning,Away Score,Home Score,runners_on_base,outs,balls,strikes,pitch_result,pitch_type,velocity_mph,bip_type,bip_result,non_bip_result,na,top_or_bottom_letter,top_of_frame,inning_num,gtown_score,pa_id
1,1,"Tonas, A. VS Walker, A.",Georgetown University vs Xavier University,,,00:00:05.8,,"Tonas, A.","Walker, A.",B6,7,6, - ,0,0,0,Foul,Fastball,0,"","",,,B,0,6,7,1
1,2,"Tonas, A. VS Walker, A.",Georgetown University vs Xavier University,,,00:00:05.4,,"Tonas, A.","Walker, A.",B6,7,6, - ,0,0,1,Foul,Fastball,0,"","",,,B,0,6,7,1
1,3,"Tonas, A. VS Walker, A.",Georgetown University vs Xavier University,,,00:00:05.7,,"Tonas, A.","Walker, A.",B6,7,6, - ,0,0,2,Foul,Fastball,0,"","",,,B,0,6,7,1
1,4,"Tonas, A. VS Walker, A.",Georgetown University vs Xavier University,,,00:00:05.1,,"Tonas, A.","Walker, A.",B6,7,6, - ,0,0,2,Ball,Fastball,0,"","",,,B,0,6,7,1
1,5,"Tonas, A. VS Walker, A.",Georgetown University vs Xavier University,,,00:00:05.5,,"Tonas, A.","Walker, A.",B6,7,6, - ,0,1,2,Ball,Slider,0,"","",,,B,0,6,7,1
1,6,"Tonas, A. VS Walker, A.",Georgetown University vs Xavier University,,,00:00:06.8,,"Tonas, A.","Walker, A.",B6,7,6, - ,0,2,2,Ball,Slider,0,"","",,,B,0,6,7,1
1,7,"Tonas, A. VS Walker, A.",Georgetown University vs Xavier University,,,00:00:13.7,,"Tonas, A.","Walker, A.",B6,7,6, - ,0,3,2,BIP,Fastball,0,Ground Ball,Single,,,B,0,6,7,1
1,8,"Tonas, A. VS Housinger, J.",Georgetown University vs Xavier University,,,00:00:05.5,,"Tonas, A.","Housinger, J.",B6,7,6,2B,0,0,0,Ball,Fastball,0,"","",,,B,0,6,7,2
1,9,"Tonas, A. VS Housinger, J.",Georgetown University vs Xavier University,,,00:00:05.1,,"Tonas, A.","Housinger, J.",B6,7,6,2B,0,1,0,Ball,Slider,0,"","",,,B,0,6,7,2
1,10,"Tonas, A. VS Housinger, J.",Georgetown University vs Xavier University,,,00:00:04.9,,"Tonas, A.","Housinger, J.",B6,7,6,2B,0,2,0,Strike Taken,Slider,0,"","",,,B,0,6,7,2
1,11,"Tonas, A. VS Housinger, J.",Georgetown University vs Xavier University,,,00:00:05.4,,"Tonas, A.","Housinger, J.",B6,7,6,2B,0,2,1,Strike Swinging,Fastball,0,"","",,,B,0,6,7,2
1,12,"Tonas, A. VS Housinger, J.",Georgetown University vs Xavier University,,,00:00:04.8,,"Tonas, A.","Housinger, J.",B6,7,6,2B,0,2,2,Ball,Fastball,0,"","",,,B,0,6,7,2
1,13,"Tonas, A. VS Housinger, J.",Georgetown University vs Xavier University,,,00:00:05.7,,"Tonas, A.","Housinger, J.",B6,7,6,2B,0,3,2,Foul,Slider,0,"","",,,B,0,6,7,2
1,14,"Tonas, A. VS Housinger, J.",Georgetown University vs Xavier University,,,00:00:04.8,,"Tonas, A.","Housinger, J.",B6,7,6,2B,0,3,2,Strike Taken,Changeup,0,"","",Strikeout,,B,0,6,7,2
1,15,"Tonas, A. VS Franzoni, L.",Georgetown University vs Xavier University,,,00:00:05.3,,"Tonas, A.","Franzoni, L.",B6,7,6,2B,1,0,0,Ball,Changeup,0,"","",,,B,0,6,7,3
1,16,"Tonas, A. VS Franzoni, L.",Georgetown University vs Xavier University,,,00:00:05.0,,"Tonas, A.","Franzoni, L.",B6,7,6,2B,1,1,0,Ball,Fastball,0,"","",,,B,0,6,7,3
1,17,"Tonas, A. VS Franzoni, L.",Georgetown University vs Xavier University,,,00:00:05.1,,"Tonas, A.","Franzoni, L.",B6,7,6, - ,1,2,0,Strike Swinging,Fastball,0,"","",,,B,0,6,7,3
1,18,"Tonas, A. VS Franzoni, L.",Georgetown University vs Xavier University,,,00:00:08.6,,"Tonas, A.","Franzoni, L.",B6,7,6, - ,1,2,1,Ball,Slider,0,"","",,,B,0,6,7,3
1,19,"Tonas, A. VS Franzoni, L.",Georgetown University vs Xavier University,,,00:00:05.1,,"Tonas, A.","Franzoni, L.",B6,7,6, - ,1,3,1,Ball,Changeup,0,"","",Walk,,B,0,6,7,3
1,20,"Tonas, A. VS Demartino, T.",Georgetown University vs Xavier University,,,00:00:09.3,,"Tonas, A.","Demartino, T.",B6,7,6,1B,1,0,0,Ball,Fastball,0,"","",,,B,0,6,7,4
1,21,"Tonas, A. VS Demartino, T.",Georgetown University vs Xavier University,,,00:00:06.9,,"Tonas, A.","Demartino, T.",B6,7,6,2B,2,1,0,Ball,Slider,0,"","",,,B,0,6,7,4
1,22,"Tonas, A. VS Demartino, T.",Georgetown University vs Xavier University,,,00:00:04.9,,"Tonas, A.","Demartino, T.",B6,7,6,2B,2,2,0,Foul,Changeup,0,"","",,,B,0,6,7,4
1,23,"Tonas, A. VS Demartino, T.",Georgetown University vs Xavier University,,,00:00:04.5,,"Tonas, A.","Demartino, T.",B6,7,6,2B,2,2,1,Strike Swinging,Fastball,0,"","",,,B,0,6,7,4
1,24,"Tonas, A. VS Demartino, T.",Georgetown University vs Xavier University,,,00:00:04.8,,"Tonas, A.","Demartino, T.",B6,7,6,2B,2,2,2,Ball,Changeup,0,"","",,,B,0,6,7,4
1,25,"Tonas, A. VS Demartino, T.",Georgetown University vs Xavier University,,,00:00:12.5,,"Tonas, A.","Demartino, T.",B6,7,6,2B,2,3,2,BIP,Fastball,0,Fly Ball,Home Run,,,B,0,6,7,4
1,26,"Tonas, A. VS Schultz, G.",Georgetown University vs Xavier University,,,00:00:09.5,,"Tonas, A.","Schultz, G.",B6,7,8, - ,2,0,0,BIP,Fastball,0,Bunt Ground Ball,Single,,,B,0,6,7,5
1,27,"Tonas, A. VS Flamm, L.",Georgetown University vs Xavier University,,,00:00:09.6,,"Tonas, A.","Flamm, L.",B6,7,8,1B,2,0,0,BIP,Slider,0,Ground Ball,Single,,,B,0,6,7,6
1,28,"Tonas, A. VS Stephenson, G.",Georgetown University vs Xavier University,,,00:00:05.7,,"Tonas, A.","Stephenson, G.",B6,7,8,1B-2B,2,0,0,Strike Swinging,Slider,0,"","",,,B,0,6,7,7
1,29,"Tonas, A. VS Stephenson, G.",Georgetown University vs Xavier University,,,00:00:05.2,,"Tonas, A.","Stephenson, G.",B6,7,8,1B-2B,2,0,1,Strike Swinging,Changeup,0,"","",,,B,0,6,7,7
